word,videos,full_path
go,go_video_2.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_2.mp4
go,go_video_49.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_49.mp4
go,go_37.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_37.mp4
go,go_8.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_8.mp4
go,go_video_36.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_36.mp4
go,go_video_44.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_44.mp4
go,go_26.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_26.mp4
go,go_video_38.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_38.mp4
go,go_33.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_33.mp4
go,go_video_17.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_17.mp4
go,go_video_41.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_41.mp4
go,go_video_29.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_29.mp4
go,go_video_20.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_20.mp4
go,go_video_25.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_25.mp4
go,go_video_48.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_48.mp4
go,go_video_27.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_27.mp4
go,go_video_3.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_3.mp4
go,go_video_30.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_30.mp4
go,go_video_13.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_13.mp4
go,go_video_50.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_50.mp4
go,go_video_4.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_4.mp4
go,go_video_6.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_6.mp4
go,go_video_43.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_43.mp4
go,go_video_40.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_40.mp4
go,go_9.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_9.mp4
go,go_video_34.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_34.mp4
go,go_video_32.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_32.mp4
go,go_video_23.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_23.mp4
go,go_video_14.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_14.mp4
go,go_24.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_24.mp4
go,go_11.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_11.mp4
go,go_video_47.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_47.mp4
go,go_video_7.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_7.mp4
go,go_video_21.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_21.mp4
go,go_video_22.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_22.mp4
go,go_video_37.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_37.mp4
go,go_video_35.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_35.mp4
go,go_video_33.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_33.mp4
go,go_video_39.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_39.mp4
go,go_video_45.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_45.mp4
go,go_30.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_30.mp4
go,go_39.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_39.mp4
go,go_video_51.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_51.mp4
go,go_10.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_10.mp4
go,go_video_1.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_1.mp4
go,go_video_0.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_0.mp4
go,go_video_42.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_42.mp4
go,go_video_5.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_5.mp4
go,go_video_8.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_8.mp4
go,go_video_28.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_28.mp4
go,go_4.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_4.mp4
go,go_video_9.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_9.mp4
go,go_video_18.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_18.mp4
go,go_video_11.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_11.mp4
go,go_29.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_29.mp4
go,go_video_15.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_15.mp4
go,go_video_46.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_46.mp4
go,go_video_24.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_24.mp4
go,go_1.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_1.mp4
go,go_video_26.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_26.mp4
go,go_3.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_3.mp4
go,go_video_10.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_10.mp4
go,go_video_16.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_16.mp4
go,go_video_31.mp4,/content/drive/MyDrive/ASL-Project/Data/dataset/row_data(videos)/part_8/go_video_31.mp4
